island,group,mean_cover,sd_cover,n_image,se_cover,rel_abund
FN,EAM,43.023823010622934,20.999666410907437,1029,0.6546432714068364,26.689110151866767
FN,MAL,26.630349153662326,15.631627197280276,998,0.49481051294631645,16.51969239854111
FN,CCA,6.241281477305733,6.658804102492475,314,0.375778055156031,3.8716747415842128
FN,ACA,16.71116655174395,12.028825137696083,992,0.38191558003762166,10.366493111399313
FN,SCL,11.022821793376288,15.135908598970396,388,0.7684093375888781,6.837823429944373
FN,ABI,6.538380948240469,9.402912145345187,341,0.5091962409214773,4.055975437128649
FN,INV,2.143722943857143,0.1556393957620468,7,0.05882616219867657,1.3298227302943482
FN,ZOA,26.22002360425,28.83327533476741,8,10.194102256516429,16.265153795969997
FN,CYA,17.117301688258884,22.9464384637126,394,1.1560248690623978,10.618432261305033
FN,SUS,5.554791168146341,6.027573575724163,205,0.4209839995265921,3.44582194196619
RA,EAM,47.48712995357847,24.753032394816714,771,0.8914586865379406,31.649699855115397
RA,MAL,25.767958750146864,25.345046526990277,606,1.0295721366566337,17.174088244928473
RA,CCA,8.202970592012255,6.734017501755063,408,0.33338354418623495,5.467198321130838
RA,ACA,9.814390002267242,12.316239291688916,232,0.8086007238192138,6.541193332518848
RA,SCL,6.033720851632258,5.576144965267765,310,0.3167037522501015,4.021414942330532
RA,ABI,29.829616445011975,31.072023359086806,668,1.202212677855238,19.881142705418426
RA,INV,2.2876674913,0.6137748827717202,10,0.19409266001614767,1.5247076321253588
RA,ZOA,9.684674932933055,9.513056207858853,239,0.615348451865197,6.45473952882244
RA,CYA,6.486020015070866,5.869913346763252,254,0.36831112050845594,4.322867836652544
RA,SUS,4.445599118361111,2.5988153754090546,36,0.4331358959015091,2.96294760095713
SP,EAM,41.771126760563384,23.546203836930655,568,0.987976765930309,23.86790929852619
SP,MAL,27.003875968992247,19.410936375330035,516,0.8545188262144174,15.429941979565239
SP,CCA,25.65929203539823,21.022611149474766,452,0.9888204508112298,14.661650342252349
SP,ACA,8.794871794871796,7.609561610594128,78,0.8616131851584092,5.025366049985266
SP,SCL,2,0,2,0,1.142794611950002
SP,INV,12.235294117647058,14.727401622262407,85,1.5974109881983019,6.991214096635306
SP,ZOA,38.28395061728395,29.529534459819974,162,2.320059340202282,21.875346244796027
SP,CYA,6.526315789473684,4.452371624962474,38,0.7222700524036951,3.7291192600473746
SP,SUS,12.734848484848484,12.108106104467035,264,0.7452024166674038,7.276658116242247
TR,EAM,21.9360186931989,19.932742831202468,492,0.8986374473265104,16.123761424379836
TR,MAL,28.84116260359602,19.914745116546303,627,0.7953183117449376,21.199290150418516
TR,CCA,20.278663360016036,19.23814280972017,571,0.8050912195188744,14.905545741697674
TR,ACA,12.698863636568182,16.92255671219431,176,1.2755857069967913,9.334120767331413
TR,SCL,3.923621465663037,5.232407706635215,61,0.6699411572944126,2.884002667792253
TR,ABI,27.882567354873355,26.214706194702575,578,1.0903880304168934,20.49468822109301
TR,INV,2.9975821439578265,2.215876818203801,95,0.22734416463644305,2.2033305138521824
TR,ZOA,5.81967213114754,5.911876367297366,2,4.18032786885246,4.27766799085688
TR,CYA,6.479510315715461,6.199864088210457,143,0.5184586806895892,4.762672750173922
TR,SUS,5.190113475257752,5.374135116834039,76,0.6164555758740191,3.8149197724043042
