island,year,SST,PAR,KD490,wave,POC,Chl_a
TR,2013,25.2362495833333,42.9198323333333,0.0279272725454545,38696.4997278457,33.563521,0.0786195652727273
TR,2014,25.2329164166667,45.4024995833333,0.0235999996666667,38101.3175932744,26.999878,0.048881725
TR,2015,25.38208275,44.8774994166667,0.0239666661666667,38056.5527830763,27.4499105833333,0.0532086514166667
TR,2016,25.71124975,44.2379989166667,0.0284166664166667,37158.245433571,35.2832031666667,0.0897033396666667
TR,2017,24.6166661666667,45.2753325833333,0.0243333330833333,38936.3389957121,28.916504,0.0598773615
TR,2018,25.2429161666667,44.7511661666667,0.0237499998333333,37018.501214124,27.1999105833333,0.0485308954166667
TR,2019,26.0566664166667,44.64066625,0.0251333331666667,41092.5532162863,29.999878,0.0631259705833333
FN,2013,27.1987495833333,48.4178333333333,0.0295636360909091,28948.0138187237,40.3999912727273,0.119389271272727
FN,2014,27.04208275,47.93683275,0.0285454541818182,28444.5757089703,38.5635653636364,0.110298759090909
FN,2015,27.1112499166667,47.9349991666667,0.029766666,27481.7270975039,40.5832520833333,0.121728795833333
FN,2016,27.3929160833333,45.8889993333333,0.029711111,28765.4276091712,40.7999132222222,0.118680869555556
FN,2017,27.3149996666667,48.1404996666667,0.03228333225,30520.9349938653,45.0332845833333,0.128218854583333
FN,2018,27.2399996666667,47.3999990833333,0.0293799994,30272.1953756279,39.0199217,0.1081116086
FN,2019,27.6699999166667,47.54816575,0.0322363630909091,29542.4206845297,44.1816407272727,0.122669114090909
RA,2013,27.2620831666667,48.1389995,0.0267333328333333,29627.0315564475,43.03320325,0.0930531658333333
RA,2014,27.0908330833333,47.41683275,0.0295499994166667,29358.3037599605,47.983236,0.106847691666667
RA,2015,27.10041625,48.3119995,0.0303333331666667,28548.8596692539,45.5998535,0.11285106275
RA,2016,27.3408329166667,45.9384996666667,0.0287333321111111,29782.2747881466,46.4665797777778,0.107451513222222
RA,2017,27.307083,46.7961658333333,0.0309599993,32256.29975121,46.5198242,0.1225308827
RA,2018,27.3129164166667,46.7836659166667,0.02876666625,31146.2047906393,49.2332768333333,0.108747623
RA,2019,27.614166,46.8201655833333,0.0240545451818182,30709.4823315114,42.0725763636364,0.074740622
spspa,2013,26.9487495833333,47.16316625,0.0352399994,30937.2962394703,52.5798342,0.1578734175
spspa,2014,26.5933328333333,47.6081659166667,0.0361999992727273,30286.8540875395,51.5090113636364,0.160239865090909
spspa,2015,26.6874995833333,47.4233325,0.0405199991,29139.1200594635,64.1599122,0.2258427796
spspa,2016,27.0954164166667,47.569999,0.0352363631818182,29934.2890517577,50.672674,0.157729309090909
spspa,2017,27.1895828333333,47.3803325833333,0.0340545441818182,31408.8358510205,49.1635299090909,0.159015546363636
spspa,2018,27.04249975,47.2814993333333,0.0352666656666667,32277.2366751164,49.3109807777778,0.156861015555556
spspa,2019,27.3233328333333,47.1909991666667,0.0351999998181818,31652.4953140913,49.3999022727273,0.147353010363636
