"","group","median_cover","mean_cover","n_obs"
"1","MAL",24.08333333335,27.8800755314976,68
"2","ABI",22.1583789582428,24.6237679681222,69
"3","EAM",15.1967592595069,18.928530786055,64
"4","CCA",13.49999999985,17.1476467334446,68
"5","ZOA",5.81967213114754,5.81967213114754,2
"6","CYA",4.761904762,5.87980828035294,39
"7","ACA",4.28571428557143,9.29744837022669,31
"8","POR",4,5.52293451426886,45
"9","SCL",3.09523809528571,3.47239266851956,25
"10","INV",2.22222222233333,2.52444815258078,22
"11","OTH",2.0833333335,2.80969634240942,23
